rowid,orderid,orderdate,shipdate,shipmode,customerid,customername,segment_x,country,city,state,postalcode,region,productid,category,sub-category,productname,sales,quantity,discount,profit,rscore,fscore,mscore,segment_y
11,CA-2017-128893,2016-10-17,2016-10-25,Standard Class,CG-63857,Jane Doe,Home Office,United States,Los Angeles,Oregon,25626,West,PRD-9644,Technology,Phones,Google Pixel,1698.34,8,0.44,659.44,4,3,2,Loyal
12,CA-2017-177236,2016-11-20,2016-12-03,Standard Class,CG-12942,Amy Martinez,Corporate,United States,Baltimore,Maryland,87405,East,PRD-9029,Furniture,Furnishings,Furnishings Item,1834.81,1,0.29,459.17,4,1,2,Regular
13,CA-2016-100851,2016-08-14,2016-08-18,Standard Class,CG-41938,Kate Taylor,Corporate,United States,Chicago,Indiana,57672,Central,PRD-8908,Office Supplies,Pens,Pens Item,1204.86,6,0.46,-58.85,4,2,2,Regular
14,CA-2015-191506,2016-10-18,2016-10-27,Second Class,CG-15655,John Smith,Consumer,United States,New York,Maine,87982,East,PRD-5853,Furniture,Chairs,Task Chair,4089.75,5,0.42,-346.71,4,1,5,Regular
15,CA-2017-144597,2015-09-24,2015-10-02,Second Class,CG-26762,Tom Anderson,Consumer,United States,San Francisco,Arizona,65666,West,PRD-4971,Technology,Phones,Samsung Galaxy,949.82,9,0.11,-37.78,3,1,2,Regular
16,CA-2016-120379,2016-10-15,2016-10-21,Standard Class,CG-85168,Chris Wilson,Corporate,United States,Phoenix,Colorado,87810,West,PRD-2278,Technology,Computers,Apple MacBook,2027.38,8,0.13,253.18,4,5,3,Loyal
17,CA-2015-144118,2014-02-17,2014-02-25,Same Day,CG-87640,David Brown,Consumer,United States,Houston,Georgia,72367,South,PRD-1987,Furniture,Furnishings,Furnishings Item,1798.02,4,0.45,-100.04,1,5,2,At Risk
18,CA-2014-112156,2014-07-04,2014-07-06,Standard Class,CG-31119,Jane Doe,Corporate,United States,Phoenix,Nevada,46554,West,PRD-4541,Furniture,Chairs,Ergonomic Chair,4583.89,10,0.43,1273.27,1,2,5,At Risk
19,CA-2017-112676,2016-03-16,2016-03-24,First Class,CG-27658,Chris Wilson,Corporate,United States,Boston,Maryland,26015,East,PRD-4078,Office Supplies,Storage,Storage Item,4606.41,7,0.41,-62.44,3,1,5,Regular
20,CA-2016-145082,2016-11-01,2016-11-13,Second Class,CG-92515,Tom Anderson,Corporate,United States,Dallas,Georgia,40254,South,PRD-4418,Office Supplies,Binders,Presentation Binder,4056.43,2,0.33,427.62,4,5,4,Champion
21,CA-2016-105695,2016-07-25,2016-08-06,Second Class,CG-77193,Chris Wilson,Consumer,United States,Boston,Connecticut,16927,East,PRD-6108,Technology,Machines,Machines Item,4549.24,1,0.29,798.96,4,4,5,Champion
22,CA-2017-170284,2015-05-09,2015-05-17,First Class,CG-15136,Mike Johnson,Corporate,United States,Chicago,Kansas,33474,Central,PRD-3523,Technology,Accessories,Accessories Item,3541.11,3,0.2,-622.04,2,1,4,At Risk
23,CA-2014-149615,2015-03-17,2015-03-23,Second Class,CG-85008,Mike Johnson,Corporate,United States,Seattle,Oregon,30019,West,PRD-4584,Technology,Phones,iPhone,4196.92,10,0.0,-765.21,2,5,5,At Risk
24,CA-2014-172357,2017-04-09,2017-04-11,First Class,CG-29249,Amy Martinez,Consumer,United States,Nashville,Kentucky,22626,South,PRD-8412,Office Supplies,Storage,Storage Item,502.91,1,0.11,188.86,5,1,1,Regular
25,CA-2016-182397,2015-12-24,2015-12-29,Standard Class,CG-17328,Tom Anderson,Corporate,United States,Kansas City,Michigan,71082,Central,PRD-4079,Technology,Computers,HP Desktop,2604.02,9,0.11,226.68,3,1,3,Regular
26,CA-2016-175674,2014-04-10,2014-04-11,Standard Class,CG-31802,Sarah Williams,Consumer,United States,Baltimore,Maine,74258,East,PRD-7931,Furniture,Bookcases,Bookcases Item,3320.93,8,0.41,-218.38,1,2,4,At Risk
27,CA-2015-192349,2014-04-14,2014-04-27,Second Class,CG-43850,Amy Martinez,Corporate,United States,Houston,Kentucky,80848,South,PRD-2672,Furniture,Bookcases,Bookcases Item,1609.56,2,0.12,-315.62,1,2,2,At Risk
28,CA-2014-106006,2015-07-31,2015-08-12,Second Class,CG-33597,Chris Wilson,Consumer,United States,Kansas City,Illinois,25615,Central,PRD-2755,Furniture,Furnishings,Furnishings Item,2641.41,9,0.0,822.34,2,2,3,At Risk
29,CA-2015-137930,2016-10-10,2016-10-12,Standard Class,CG-77717,Kate Taylor,Home Office,United States,Seattle,Nevada,59327,West,PRD-1271,Technology,Phones,iPhone,2879.68,3,0.02,174.36,4,4,3,Loyal
30,CA-2014-130512,2017-05-08,2017-05-09,First Class,CG-63143,Sarah Williams,Corporate,United States,Los Angeles,Nevada,14306,West,PRD-1468,Office Supplies,Paper,Cardstock,2664.31,8,0.04,91.66,5,5,5,Champion
31,CA-2014-149823,2017-09-01,2017-09-15,Standard Class,CG-88558,Tom Anderson,Consumer,United States,Philadelphia,Massachusetts,31514,East,PRD-8416,Office Supplies,Labels,Labels Item,1976.98,5,0.4,654.66,5,5,2,Loyal
32,CA-2016-159429,2017-10-09,2017-10-15,First Class,CG-83872,Kate Taylor,Home Office,United States,San Francisco,Nevada,50954,West,PRD-2938,Office Supplies,Pens,Pens Item,2736.44,10,0.27,-444.5,5,5,3,Loyal
33,CA-2016-121319,2016-08-21,2016-09-01,Same Day,CG-93574,Tom Anderson,Corporate,United States,Los Angeles,Nevada,84560,West,PRD-8069,Technology,Phones,Samsung Galaxy,1012.65,7,0.45,-169.02,4,5,2,Loyal
34,CA-2016-146566,2015-08-09,2015-08-11,Standard Class,CG-12440,Sarah Williams,Consumer,United States,Phoenix,Oregon,85000,West,PRD-9227,Furniture,Tables,Training Table,1608.38,9,0.47,482.88,2,1,2,At Risk
35,CA-2015-187841,2017-01-04,2017-01-15,First Class,CG-96736,Sarah Williams,Consumer,United States,Phoenix,Nevada,30487,West,PRD-6467,Office Supplies,Labels,Labels Item,2245.04,1,0.01,579.11,4,5,3,Loyal
36,CA-2016-191988,2014-01-17,2014-01-30,First Class,CG-47152,Jane Doe,Home Office,United States,Indianapolis,Kansas,74840,Central,PRD-5466,Furniture,Furnishings,Furnishings Item,998.23,5,0.43,102.16,1,3,2,At Risk
37,CA-2014-179840,2014-08-09,2014-08-12,First Class,CG-21239,David Brown,Corporate,United States,Seattle,Oregon,47281,West,PRD-7267,Office Supplies,Binders,3-Ring Binder,4721.79,10,0.37,-731.72,1,1,5,At Risk
38,CA-2015-170010,2016-06-01,2016-06-13,Second Class,CG-38389,Chris Wilson,Consumer,United States,Atlanta,Alabama,87393,South,PRD-4177,Technology,Accessories,Accessories Item,2137.33,2,0.38,429.58,3,2,3,Regular
39,CA-2015-121417,2014-10-02,2014-10-06,Second Class,CG-68877,Lisa Davis,Home Office,United States,Indianapolis,Indiana,55727,Central,PRD-3894,Office Supplies,Paper,Cardstock,2181.34,9,0.39,629.51,1,4,3,At Risk
40,CA-2017-149735,2015-06-26,2015-07-05,Same Day,CG-89498,Kate Taylor,Home Office,United States,Kansas City,Iowa,22759,Central,PRD-9676,Technology,Machines,Machines Item,421.12,8,0.38,0.38,2,5,1,At Risk
41,CA-2016-183886,2016-01-20,2016-01-23,Same Day,CG-71789,Jane Doe,Consumer,United States,Seattle,Colorado,63992,West,PRD-9497,Technology,Accessories,Accessories Item,128.93,3,0.33,49.21,3,4,1,Loyal
42,CA-2015-189733,2016-04-05,2016-04-14,First Class,CG-73133,Jane Doe,Corporate,United States,Miami,Alabama,42455,South,PRD-1817,Office Supplies,Binders,Sheet Protectors,530.55,8,0.25,165.89,3,4,1,Loyal
43,CA-2016-107331,2016-01-20,2016-01-23,Second Class,CG-32356,Chris Wilson,Home Office,United States,Hartford,Maine,21133,East,PRD-4597,Technology,Computers,Dell Laptop,2810.65,5,0.29,-481.32,3,2,3,Regular
44,CA-2015-104207,2014-04-03,2014-04-09,First Class,CG-38752,Chris Wilson,Corporate,United States,Chicago,Iowa,54249,Central,PRD-5361,Furniture,Chairs,Executive Chair,3052.22,3,0.27,-489.17,1,2,3,At Risk
45,CA-2016-152581,2016-03-31,2016-04-09,Second Class,CG-63840,Lisa Davis,Consumer,United States,Hartford,Connecticut,52744,East,PRD-2655,Furniture,Chairs,Ergonomic Chair,1536.43,1,0.28,179.28,3,3,2,Loyal
46,CA-2016-108675,2014-04-15,2014-04-22,Second Class,CG-88753,Lisa Davis,Consumer,United States,Kansas City,Kansas,84455,Central,PRD-7628,Office Supplies,Paper,Specialty Paper,4961.51,5,0.39,829.77,1,5,5,At Risk
47,CA-2015-174341,2017-03-13,2017-03-21,Same Day,CG-28705,Sarah Williams,Consumer,United States,Los Angeles,Colorado,71564,West,PRD-2659,Office Supplies,Storage,Storage Item,3856.0,10,0.43,-125.13,4,1,4,Regular
48,CA-2016-127869,2017-02-24,2017-02-28,First Class,CG-86368,Lisa Davis,Consumer,United States,Kansas City,Iowa,84757,Central,PRD-9112,Furniture,Bookcases,Bookcases Item,3856.51,6,0.46,-93.25,4,5,4,Champion
49,CA-2017-151856,2015-02-03,2015-02-16,First Class,CG-33839,Lisa Davis,Home Office,United States,Phoenix,Colorado,22809,West,PRD-6695,Furniture,Tables,Conference Table,3497.52,7,0.19,573.31,2,2,4,At Risk
50,CA-2017-118726,2016-01-13,2016-01-20,Second Class,CG-91685,Kate Taylor,Home Office,United States,San Francisco,Arizona,54035,West,PRD-5718,Technology,Machines,Machines Item,2642.48,2,0.36,831.59,3,5,3,Loyal
51,CA-2016-118301,2017-02-07,2017-02-18,Second Class,CG-96461,John Smith,Corporate,United States,Seattle,Oregon,31840,West,PRD-4032,Technology,Phones,iPhone,217.75,3,0.09,-1.56,4,5,1,Loyal
52,CA-2015-197647,2015-08-15,2015-08-18,Standard Class,CG-76952,David Brown,Corporate,United States,Dallas,Florida,36444,South,PRD-6002,Technology,Accessories,Accessories Item,4734.43,2,0.33,340.32,2,4,5,At Risk
53,CA-2016-197912,2014-05-31,2014-06-03,Same Day,CG-44671,Mike Johnson,Consumer,United States,Phoenix,Arizona,38059,West,PRD-6162,Technology,Computers,Dell Laptop,1542.53,4,0.01,407.52,1,2,2,At Risk
54,CA-2017-176484,2016-03-02,2016-03-13,Standard Class,CG-31983,Lisa Davis,Corporate,United States,Atlanta,Florida,48970,South,PRD-4069,Technology,Phones,iPhone,2941.47,8,0.21,934.62,3,2,3,Regular
55,CA-2017-147447,2016-10-29,2016-11-09,Second Class,CG-99861,Kate Taylor,Consumer,United States,Phoenix,California,22053,West,PRD-3323,Office Supplies,Storage,Storage Item,4502.38,8,0.16,509.15,4,5,5,Champion
56,CA-2015-118131,2016-07-11,2016-07-18,First Class,CG-54914,Amy Martinez,Home Office,United States,Indianapolis,Michigan,45830,Central,PRD-8011,Furniture,Furnishings,Furnishings Item,2718.51,4,0.12,878.36,4,3,3,Loyal
57,CA-2017-111915,2017-01-31,2017-02-07,Second Class,CG-69437,Kate Taylor,Home Office,United States,Milwaukee,Michigan,72294,Central,PRD-5322,Office Supplies,Binders,3-Ring Binder,3208.25,1,0.24,1185.94,4,4,4,Champion
58,CA-2014-114371,2015-07-27,2015-07-28,Standard Class,CG-88188,Mike Johnson,Consumer,United States,Seattle,California,20048,West,PRD-1159,Furniture,Tables,Computer Table,3698.89,7,0.05,685.2,2,5,4,At Risk
59,CA-2015-182240,2017-06-30,2017-07-12,Same Day,CG-87410,Amy Martinez,Consumer,United States,Houston,Kentucky,66742,South,PRD-8763,Technology,Machines,Machines Item,2676.12,3,0.47,471.5,5,5,3,Loyal
60,CA-2015-189192,2017-10-25,2017-11-04,Second Class,CG-19023,John Smith,Home Office,United States,Dallas,Arkansas,62730,South,PRD-5055,Technology,Phones,Samsung Galaxy,245.57,7,0.37,-41.7,5,1,1,Regular
61,CA-2017-178172,2017-06-05,2017-06-09,First Class,CG-40122,Sarah Williams,Corporate,United States,Nashville,Kentucky,69405,South,PRD-1284,Office Supplies,Binders,3-Ring Binder,1521.7,1,0.08,31.98,5,2,2,Regular
62,CA-2014-150432,2014-09-01,2014-09-09,Standard Class,CG-59572,Sarah Williams,Corporate,United States,Hartford,Connecticut,34450,East,PRD-4740,Technology,Machines,Machines Item,949.31,5,0.15,173.25,1,3,2,At Risk
63,CA-2017-178104,2014-09-21,2014-10-01,Second Class,CG-60523,Lisa Davis,Consumer,United States,Denver,California,45118,West,PRD-2538,Technology,Computers,Dell Laptop,4821.29,3,0.13,-182.86,1,3,5,At Risk
64,CA-2017-169352,2014-07-18,2014-07-25,First Class,CG-27329,Mike Johnson,Home Office,United States,Los Angeles,Oregon,78454,West,PRD-6499,Furniture,Bookcases,Bookcases Item,271.65,4,0.08,91.66,1,1,1,At Risk
65,CA-2016-172512,2016-03-17,2016-03-24,First Class,CG-24230,Jane Doe,Corporate,United States,Baltimore,Maine,29365,East,PRD-6747,Office Supplies,Storage,Storage Item,4128.72,6,0.21,265.85,3,1,5,Regular
66,CA-2014-189166,2016-02-04,2016-02-05,Second Class,CG-12170,Jane Doe,Corporate,United States,Philadelphia,Delaware,67067,East,PRD-8970,Technology,Machines,Machines Item,4369.79,10,0.36,696.11,3,1,5,Regular
67,CA-2014-189353,2015-11-26,2015-12-08,Standard Class,CG-36522,John Smith,Home Office,United States,Los Angeles,Colorado,93090,West,PRD-8516,Office Supplies,Pens,Pens Item,3695.32,8,0.18,127.28,3,2,4,Regular
68,CA-2016-184012,2017-02-16,2017-02-20,First Class,CG-78512,Sarah Williams,Consumer,United States,Philadelphia,Maryland,47623,East,PRD-5933,Furniture,Bookcases,Bookcases Item,2624.68,4,0.38,-433.31,4,4,3,Loyal
69,CA-2016-114621,2016-01-19,2016-01-23,Same Day,CG-76107,Kate Taylor,Home Office,United States,Hartford,Maine,40950,East,PRD-9484,Technology,Machines,Machines Item,899.67,8,0.14,329.06,3,4,1,Loyal
70,CA-2016-156985,2014-10-23,2014-10-28,Standard Class,CG-99701,Mike Johnson,Home Office,United States,Los Angeles,California,29655,West,PRD-2847,Technology,Accessories,Accessories Item,1860.41,2,0.5,616.28,1,5,2,At Risk
71,CA-2015-159470,2015-02-12,2015-02-25,First Class,CG-65023,David Brown,Corporate,United States,New York,Connecticut,50703,East,PRD-1339,Office Supplies,Labels,Labels Item,3498.92,2,0.35,824.39,2,3,4,At Risk
72,CA-2014-194646,2017-05-18,2017-05-30,Second Class,CG-29603,John Smith,Corporate,United States,Phoenix,Nevada,67164,West,PRD-4608,Furniture,Furnishings,Furnishings Item,4554.2,3,0.32,1173.98,5,1,5,Regular
73,CA-2016-165612,2016-11-08,2016-11-21,Second Class,CG-89365,Lisa Davis,Corporate,United States,San Francisco,Arizona,30887,West,PRD-9156,Technology,Computers,HP Desktop,502.27,3,0.04,23.6,4,5,1,Loyal
74,CA-2015-166542,2016-04-02,2016-04-15,Standard Class,CG-22622,Jane Doe,Corporate,United States,Atlanta,Arkansas,43868,South,PRD-8056,Furniture,Tables,Computer Table,4750.32,3,0.08,-579.46,5,5,5,Champion
75,CA-2014-181959,2016-10-21,2016-10-23,First Class,CG-33255,David Brown,Home Office,United States,Miami,Kentucky,94448,South,PRD-2462,Office Supplies,Paper,Specialty Paper,4462.86,10,0.06,-525.21,4,2,5,Regular
76,CA-2016-183748,2014-03-24,2014-04-03,First Class,CG-72373,Amy Martinez,Consumer,United States,Chicago,Kansas,17251,Central,PRD-2768,Furniture,Furnishings,Furnishings Item,3564.93,10,0.47,-671.36,1,4,4,At Risk
77,CA-2015-120032,2014-04-03,2014-04-05,Standard Class,CG-90576,Amy Martinez,Home Office,United States,Milwaukee,Iowa,49056,Central,PRD-8360,Office Supplies,Labels,Labels Item,374.09,1,0.48,104.45,1,5,1,At Risk
78,CA-2016-199943,2014-03-21,2014-04-03,Standard Class,CG-88618,John Smith,Consumer,United States,Indianapolis,Kansas,98037,Central,PRD-6715,Technology,Computers,HP Desktop,1026.01,8,0.03,253.96,1,5,2,At Risk
79,CA-2015-170697,2014-10-08,2014-10-22,Standard Class,CG-15116,Lisa Davis,Consumer,United States,Detroit,Kansas,40938,Central,PRD-7836,Office Supplies,Storage,Storage Item,1041.62,8,0.39,99.22,1,1,2,At Risk
80,CA-2014-178504,2015-11-14,2015-11-23,Same Day,CG-79655,Sarah Williams,Corporate,United States,Milwaukee,Michigan,25812,Central,PRD-4122,Office Supplies,Pens,Pens Item,3205.7,6,0.38,561.75,3,4,4,Loyal
81,CA-2016-164042,2016-08-28,2016-08-31,Same Day,CG-75972,Tom Anderson,Home Office,United States,Atlanta,Georgia,41205,South,PRD-3014,Furniture,Bookcases,Bookcases Item,87.81,7,0.14,7.42,4,4,1,Loyal
82,CA-2014-114662,2016-11-29,2016-12-05,Same Day,CG-25403,Sarah Williams,Corporate,United States,Indianapolis,Iowa,86588,Central,PRD-6685,Office Supplies,Storage,Storage Item,4611.21,1,0.09,141.49,4,1,5,Regular
83,CA-2016-140306,2016-07-24,2016-07-30,Second Class,CG-22214,Sarah Williams,Consumer,United States,Denver,California,38574,West,PRD-9174,Office Supplies,Binders,3-Ring Binder,1038.09,9,0.38,-177.91,4,1,2,Regular
84,CA-2015-107592,2014-11-02,2014-11-06,Same Day,CG-73208,Tom Anderson,Home Office,United States,New York,Connecticut,38063,East,PRD-3461,Technology,Computers,HP Desktop,3450.05,6,0.17,-356.79,1,4,4,At Risk
85,CA-2015-174364,2017-05-26,2017-06-03,Same Day,CG-96427,Tom Anderson,Home Office,United States,Dallas,Georgia,43332,South,PRD-3664,Technology,Machines,Machines Item,4622.32,9,0.25,1014.91,5,5,5,Champion
86,CA-2014-111226,2016-11-21,2016-11-23,Same Day,CG-27082,David Brown,Corporate,United States,Milwaukee,Kansas,59113,Central,PRD-5722,Office Supplies,Storage,Storage Item,33.65,2,0.42,5.42,4,1,1,Regular
87,CA-2017-109071,2014-10-14,2014-10-19,First Class,CG-89098,Tom Anderson,Corporate,United States,Milwaukee,Iowa,65545,Central,PRD-1255,Furniture,Bookcases,Bookcases Item,1209.53,7,0.27,316.25,1,5,2,At Risk
88,CA-2015-116828,2015-11-03,2015-11-14,Same Day,CG-80685,Amy Martinez,Home Office,United States,Seattle,California,28993,West,PRD-5636,Office Supplies,Binders,3-Ring Binder,4070.05,8,0.26,-170.42,3,5,5,Loyal
89,CA-2017-172063,2017-06-09,2017-06-23,Standard Class,CG-10157,Kate Taylor,Corporate,United States,Houston,Georgia,50392,South,PRD-9001,Technology,Phones,iPhone,4158.21,1,0.24,159.54,5,1,5,Regular
90,CA-2015-134741,2015-10-15,2015-10-23,Same Day,CG-98940,Mike Johnson,Corporate,United States,Chicago,Michigan,96798,Central,PRD-6771,Office Supplies,Binders,Presentation Binder,4922.17,5,0.31,563.04,3,5,5,Loyal
91,CA-2017-127760,2014-11-29,2014-12-08,Second Class,CG-95096,John Smith,Consumer,United States,Indianapolis,Indiana,82447,Central,PRD-5119,Technology,Phones,iPhone,4935.56,7,0.39,592.87,2,5,5,At Risk
92,CA-2015-193447,2016-03-15,2016-03-26,Second Class,CG-66557,Chris Wilson,Home Office,United States,Seattle,Colorado,99816,West,PRD-5641,Furniture,Bookcases,Bookcases Item,4134.6,9,0.18,-660.32,3,4,5,Loyal
93,CA-2016-152296,2017-06-16,2017-06-22,Same Day,CG-78425,Kate Taylor,Home Office,United States,Detroit,Michigan,67986,Central,PRD-5434,Technology,Computers,Dell Laptop,1865.2,7,0.05,-154.51,5,4,2,Loyal
94,CA-2016-157422,2015-09-05,2015-09-15,Standard Class,CG-65139,Tom Anderson,Consumer,United States,Denver,Arizona,43493,West,PRD-2322,Furniture,Tables,Training Table,4190.56,2,0.09,-328.54,2,3,5,At Risk
95,CA-2017-115860,2017-04-30,2017-05-07,Standard Class,CG-58546,John Smith,Corporate,United States,Miami,Alabama,48983,South,PRD-8752,Office Supplies,Paper,Copy Paper,233.34,2,0.4,-14.17,5,3,1,Loyal
96,CA-2015-129451,2015-11-20,2015-11-30,First Class,CG-15693,David Brown,Home Office,United States,Baltimore,Delaware,92752,East,PRD-7328,Office Supplies,Paper,Specialty Paper,716.93,2,0.27,259.78,3,1,1,Regular
97,CA-2014-144313,2016-11-04,2016-11-11,Standard Class,CG-79444,Mike Johnson,Corporate,United States,Atlanta,Georgia,45918,South,PRD-2607,Office Supplies,Storage,Storage Item,1238.4,5,0.13,461.32,4,4,2,Loyal
98,CA-2014-177110,2016-11-09,2016-11-19,First Class,CG-66224,John Smith,Consumer,United States,Kansas City,Kansas,64127,Central,PRD-6091,Office Supplies,Pens,Pens Item,3345.98,6,0.01,-38.41,4,4,4,Champion
99,CA-2015-177128,2016-12-26,2016-12-28,First Class,CG-40079,David Brown,Corporate,United States,Atlanta,Georgia,31016,South,PRD-6283,Furniture,Furnishings,Furnishings Item,4410.9,8,0.46,1009.88,4,2,5,Regular
100,CA-2015-100942,2016-09-30,2016-10-06,Standard Class,CG-73192,Sarah Williams,Corporate,United States,Atlanta,Kentucky,56118,South,PRD-4268,Technology,Computers,Apple MacBook,2119.97,7,0.4,-206.17,4,4,3,Loyal
101,CA-2014-192778,2017-12-22,2017-12-28,Standard Class,CG-59969,Kate Taylor,Home Office,United States,Phoenix,Oregon,52830,West,PRD-4268,Office Supplies,Paper,Cardstock,2856.99,9,0.4,19.56,5,3,3,Loyal
102,CA-2014-130007,2017-02-26,2017-03-12,First Class,CG-55943,David Brown,Consumer,United States,Los Angeles,Arizona,94066,West,PRD-2402,Office Supplies,Pens,Pens Item,4320.08,4,0.04,1626.98,4,3,5,Loyal
103,CA-2014-104117,2015-09-06,2015-09-14,Second Class,CG-87207,John Smith,Consumer,United States,New York,Maryland,10403,East,PRD-8555,Office Supplies,Labels,Labels Item,3134.69,3,0.03,-422.47,2,5,4,At Risk
104,CA-2016-109287,2016-08-30,2016-09-09,Same Day,CG-85513,Amy Martinez,Home Office,United States,Seattle,California,51120,West,PRD-8158,Technology,Computers,HP Desktop,1032.33,2,0.07,130.91,4,5,2,Loyal
105,CA-2015-136500,2014-02-04,2014-02-07,Second Class,CG-22807,John Smith,Consumer,United States,Detroit,Illinois,42716,Central,PRD-8240,Furniture,Tables,Computer Table,4394.62,1,0.08,-670.22,1,1,5,At Risk
106,CA-2017-128080,2016-01-25,2016-02-08,Standard Class,CG-65769,Jane Doe,Corporate,United States,Baltimore,Massachusetts,51864,East,PRD-9254,Technology,Machines,Machines Item,3685.8,3,0.41,-713.63,3,3,4,Loyal
107,CA-2015-194811,2015-11-10,2015-11-21,Standard Class,CG-27548,Chris Wilson,Home Office,United States,San Francisco,Nevada,44167,West,PRD-8673,Technology,Machines,Machines Item,1370.35,2,0.27,424.43,3,1,2,Regular
108,CA-2017-131850,2017-10-11,2017-10-23,First Class,CG-43360,David Brown,Consumer,United States,Philadelphia,Massachusetts,46935,East,PRD-8643,Office Supplies,Storage,Storage Item,3454.5,10,0.24,1172.69,5,2,4,Regular
109,CA-2017-153354,2014-08-13,2014-08-26,Same Day,CG-72539,Lisa Davis,Corporate,United States,Baltimore,Connecticut,58182,East,PRD-8557,Office Supplies,Storage,Storage Item,2085.28,3,0.46,-211.52,1,4,3,At Risk
110,CA-2015-112363,2016-05-03,2016-05-08,Standard Class,CG-40475,Jane Doe,Home Office,United States,Baltimore,Maryland,84762,East,PRD-2448,Furniture,Chairs,Task Chair,2074.06,4,0.32,-288.31,3,2,3,Regular
111,CA-2014-186374,2017-04-10,2017-04-20,Same Day,CG-20986,John Smith,Corporate,United States,Boston,Connecticut,83207,East,PRD-4975,Furniture,Bookcases,Bookcases Item,1397.65,8,0.01,226.08,5,1,2,Regular
112,CA-2017-146438,2015-09-23,2015-10-03,Second Class,CG-47128,David Brown,Consumer,United States,Baltimore,Connecticut,35987,East,PRD-3085,Technology,Machines,Machines Item,4506.37,9,0.43,-900.02,3,3,5,Loyal
113,CA-2017-153883,2017-11-10,2017-11-12,Same Day,CG-88419,Chris Wilson,Home Office,United States,Atlanta,Arkansas,62564,South,PRD-1877,Technology,Machines,Machines Item,4085.46,6,0.4,-541.03,5,5,4,Champion
114,CA-2017-195561,2017-07-12,2017-07-23,Second Class,CG-81267,Sarah Williams,Home Office,United States,Seattle,Oregon,29562,West,PRD-1097,Office Supplies,Paper,Cardstock,2446.2,9,0.22,612.05,5,4,3,Loyal
115,CA-2014-188259,2014-02-24,2014-02-27,Standard Class,CG-63562,Chris Wilson,Corporate,United States,Detroit,Iowa,84349,Central,PRD-8540,Office Supplies,Labels,Labels Item,3004.65,5,0.4,-171.91,1,3,3,At Risk
116,CA-2014-107944,2017-05-07,2017-05-13,Standard Class,CG-43791,Tom Anderson,Corporate,United States,Milwaukee,Illinois,67037,Central,PRD-5426,Furniture,Chairs,Executive Chair,3136.42,8,0.39,338.66,5,2,4,Regular
117,CA-2017-195448,2016-08-29,2016-08-31,First Class,CG-34775,Jane Doe,Consumer,United States,Los Angeles,Nevada,39423,West,PRD-2595,Technology,Phones,Samsung Galaxy,1983.39,2,0.2,400.21,4,2,2,Regular
118,CA-2016-114322,2015-06-28,2015-07-02,Second Class,CG-10716,Lisa Davis,Home Office,United States,Philadelphia,Delaware,47743,East,PRD-8888,Office Supplies,Labels,Labels Item,3483.05,3,0.08,-420.01,2,1,4,At Risk
